Mod:Item:MetaData, Localized Name
biomesoplenty:leaves_3:10, Жакарандовые Листья
biomesoplenty:leaves_3:11, Листья Священного Дуба
biomesoplenty:leaves_4:8, Мангровые Листья
biomesoplenty:leaves_4:9, Пальмовые Листья
biomesoplenty:leaves_4:10, Листья Красного Дерева
biomesoplenty:leaves_4:11, Ивовые Листья
biomesoplenty:leaves_5:8, Сосновые Листья
biomesoplenty:leaves_5:9, Махагоневые Листья
biomesoplenty:leaves_5:10, Эбеновые Листья
biomesoplenty:leaves_5:11, Эвкалиптовые Листья
biomesoplenty:leaves_6:8, Лепесток Красного Гигантского Цветка
biomesoplenty:leaves_6:9, Лепесток Жёлтого Гигантского Цветка
biomesoplenty:planks_0:0, Доски из Священного Дуба
biomesoplenty:planks_0:1, Вишнёвые Доски
biomesoplenty:planks_0:2, Теневые Доски
biomesoplenty:planks_0:3, Пихтовые Доски
biomesoplenty:planks_0:4, Эфирные Доски
biomesoplenty:planks_0:5, Магические Доски
biomesoplenty:planks_0:6, Мангровые Доски
biomesoplenty:planks_0:7, Пальмовые Доски
biomesoplenty:planks_0:8, Доски из Красного Дерева
biomesoplenty:planks_0:9, Ивовые Доски
biomesoplenty:planks_0:10, Сосновые Доски
biomesoplenty:planks_0:11, Доски из Адского Дерева
biomesoplenty:planks_0:12, Жакарандовые Доски
biomesoplenty:planks_0:13, Махагоновые Доски
biomesoplenty:planks_0:14, Эбеновые Доски
biomesoplenty:planks_0:15, Эвкалиптовые Доски
biomesoplenty:sacred_oak_stairs:0, Ступеньки из Священного Дуба
biomesoplenty:cherry_stairs:0, Лестница Вишнёвого Дерева
biomesoplenty:umbran_stairs:0, Теневые Ступеньки
biomesoplenty:fir_stairs:0, Пихтовые Ступеньки
biomesoplenty:ethereal_stairs:0, Эфирные Ступеньки
biomesoplenty:magic_stairs:0, Ступеньки из Магического Дерева
biomesoplenty:mangrove_stairs:0, Мангровые Ступеньки
biomesoplenty:palm_stairs:0, Пальмовые Ступеньки
biomesoplenty:redwood_stairs:0, Ступеньки из Красного Дерева
biomesoplenty:willow_stairs:0, Ивовые Ступеньки
biomesoplenty:pine_stairs:0, Сосновые Ступеньки
biomesoplenty:hellbark_stairs:0, Ступеньки из Адского Дерева
biomesoplenty:jacaranda_stairs:0, Жакарандовые Ступеньки
biomesoplenty:mahogany_stairs:0, Махагоновые Ступеньки
biomesoplenty:ebony_stairs:0, Эбеновые Ступеньки
biomesoplenty:eucalyptus_stairs:0, Эвкалиптовые Ступеньки
biomesoplenty:wood_slab_0:0, Плита из Священного Дуба
biomesoplenty:wood_slab_0:1, Плита Вишнёвого Дерева
biomesoplenty:wood_slab_0:2, Теневая Плитка
biomesoplenty:wood_slab_0:3, Пихтовый Плитка
biomesoplenty:wood_slab_0:4, Эфирная Плитка
biomesoplenty:wood_slab_0:5, Плита из Магического Дерева
biomesoplenty:wood_slab_0:6, Мангровая Плитка
biomesoplenty:wood_slab_0:7, Пальмовая Плитка
biomesoplenty:wood_slab_1:0, Плитка из Красного Дерева
biomesoplenty:wood_slab_1:1, Ивоваа Плитка
biomesoplenty:wood_slab_1:2, Сосновая Плитка
biomesoplenty:wood_slab_1:3, Плита из Адского Дерева
biomesoplenty:wood_slab_1:4, Жакарандовая Плитка
biomesoplenty:wood_slab_1:5, Махагоновая Плитка
biomesoplenty:wood_slab_1:6, Эбоновая Плитка
biomesoplenty:wood_slab_1:7, Эвкалиптовая Плитка
biomesoplenty:sacred_oak_fence:0, Забор из Священного Дуба
biomesoplenty:cherry_fence:0, Вишнёвый Забор
biomesoplenty:umbran_fence:0, Теневой Забор
biomesoplenty:fir_fence:0, Пихтовый Забор
biomesoplenty:ethereal_fence:0, Эфирный Забор
biomesoplenty:magic_fence:0, Забор из Магического Дерева
biomesoplenty:mangrove_fence:0, Мангровый Забор
biomesoplenty:palm_fence:0, Пальмовый Забор
biomesoplenty:redwood_fence:0, Забор из Красного Дерева
biomesoplenty:willow_fence:0, Ивовый Забор
biomesoplenty:pine_fence:0, Сосновый Забор
biomesoplenty:hellbark_fence:0, Забор из Адского Дерева
biomesoplenty:jacaranda_fence:0, Жакарандовый Забор
biomesoplenty:mahogany_fence:0, Махагоновый Забор
biomesoplenty:ebony_fence:0, Забор из Эбенового Дерева
biomesoplenty:eucalyptus_fence:0, Эвкалиптовый Забор
biomesoplenty:sacred_oak_fence_gate:0, Калитка из Священного Дуба
biomesoplenty:cherry_fence_gate:0, Вишнёвая Калитка
biomesoplenty:umbran_fence_gate:0, Теневая Калитка
biomesoplenty:fir_fence_gate:0, Пихтовая Калитка
biomesoplenty:ethereal_fence_gate:0, Эфирная Калитка
biomesoplenty:magic_fence_gate:0, Калитка из Магического Дерева
biomesoplenty:mangrove_fence_gate:0, Мангровая Калитка
biomesoplenty:palm_fence_gate:0, Пальмовая Калитка
biomesoplenty:redwood_fence_gate:0, Калитка из Красного Дерева
biomesoplenty:willow_fence_gate:0, Ивовая Калитка
biomesoplenty:pine_fence_gate:0, Сосновая Калитка
biomesoplenty:hellbark_fence_gate:0, Калитка из Адского Дерева
biomesoplenty:jacaranda_fence_gate:0, Жакарандовая Калитка
biomesoplenty:mahogany_fence_gate:0, Махагоновая Калитка
biomesoplenty:ebony_fence_gate:0, Эбеновая Калитка
biomesoplenty:eucalyptus_fence_gate:0, Эвкалиптовая Калитка
biomesoplenty:sacred_oak_door, Дверь из Священного Дуба
biomesoplenty:cherry_door, Вишневая Дверь
biomesoplenty:umbran_door, Дверь из Теневого Дерева
biomesoplenty:fir_door, Пихтовая Дверь
biomesoplenty:ethereal_door, Эфирная Дверь
biomesoplenty:magic_door, Магическая Дверь
biomesoplenty:mangrove_door, Мангровая Дверь
biomesoplenty:palm_door, Пальмовая Дверь
biomesoplenty:redwood_door, Дверь из Красного Дерева
biomesoplenty:willow_door, Дверь из Ивы
biomesoplenty:pine_door, Сосновая Дверь
biomesoplenty:hellbark_door, Дверь из Адской Дерева
biomesoplenty:jacaranda_door, Жакарандовая Дверь
biomesoplenty:mahogany_door, Махагоновая Дверь
biomesoplenty:ebony_door, Эбоновая Дверь
biomesoplenty:eucalyptus_door, Эвкалиптовая Дверь
biomesoplenty:coral:0, Розовый Коралл
biomesoplenty:coral:1, Оранжевый Коралл
biomesoplenty:coral:2, Синий Коралл
biomesoplenty:coral:3, Светящиеся Коралл
biomesoplenty:coral:4, Водоросли
biomesoplenty:seaweed:0, Ламинария
biomesoplenty:waterlily:0, Средняя Кувшинка
biomesoplenty:waterlily:1, Маленькая Кувшинка
biomesoplenty:waterlily:2, Крошечная Кувшинка
biomesoplenty:waterlily:3, Цветущая Лилия
biomesoplenty:bamboo:0, Бамбук
biomesoplenty:sapling_0:0, Саженец Пожелтевших Листьев
biomesoplenty:sapling_0:1, Саженец Покрасневших Листьев
biomesoplenty:sapling_0:2, Бамбуковый Саженец
biomesoplenty:sapling_0:3, Магический Саженец
biomesoplenty:sapling_0:4, Теневой Саженец
biomesoplenty:sapling_0:5, Мёртвый Саженец
biomesoplenty:sapling_0:6, Пихтовый Саженец
biomesoplenty:sapling_0:7, Эфирный Саженец
biomesoplenty:sapling_1:0, Изначальный Саженец
biomesoplenty:sapling_1:1, Розовая Вишнёвый Саженец
biomesoplenty:sapling_1:2, Белый Вишнёвый Саженец
biomesoplenty:sapling_1:3, Кленовый Саженец
biomesoplenty:sapling_1:4, Саженец из Адского Дерева
biomesoplenty:sapling_1:5, Саженец Цветущегой Дуба
biomesoplenty:sapling_1:6, Жакарандовый Саженец
biomesoplenty:sapling_1:7, Саженец Священного Дуба
biomesoplenty:sapling_2:0, Мангрововый Саженец
biomesoplenty:sapling_2:1, Пальмовый Саженец
biomesoplenty:sapling_2:2, Саженец Красного Дерева
biomesoplenty:sapling_2:3, Ивовый Саженец
biomesoplenty:sapling_2:4, Сосновый Саженец
biomesoplenty:sapling_2:5, Махагоновый Саженец
biomesoplenty:sapling_2:6, Эбеновый Саженец
biomesoplenty:sapling_2:7, Эвкалиптовый Саженец
biomesoplenty:plant_0:0, Короткая трава
biomesoplenty:plant_0:1, Средняя трава
biomesoplenty:plant_0:2, Кустарник
biomesoplenty:plant_0:3, Росток
biomesoplenty:plant_0:4, Ядовитый Плющ
biomesoplenty:plant_0:5, Ягодный Куст
biomesoplenty:plant_0:6, Куст
biomesoplenty:plant_0:7, Пшеничная Трава
biomesoplenty:plant_0:8, Сырая Трава
biomesoplenty:plant_0:9, Кору
biomesoplenty:plant_0:10, Клеверная Повязка
biomesoplenty:plant_0:11, Куча Листьев
biomesoplenty:plant_0:12, Куча Мёртвых Листьев
biomesoplenty:plant_0:13, Мёртвая Трава
biomesoplenty:plant_0:14, Пустынная Трава
biomesoplenty:plant_0:15, Пустынные Ростки
biomesoplenty:plant_1:0, Дюнная Трава
biomesoplenty:plant_1:1, Спектральный Папоротник
biomesoplenty:plant_1:2, Колючий Кустарник
biomesoplenty:plant_1:3, Дикий Рис
biomesoplenty:plant_1:4, Рогоз
biomesoplenty:plant_1:5, Речной Тростник
biomesoplenty:plant_1:6, Крошечный Кактус
biomesoplenty:plant_1:7, Дьявольская Трава
biomesoplenty:plant_1:8, Камыш
biomesoplenty:plant_1:9, Корень
biomesoplenty:plant_1:10, Раффлезия
biomesoplenty:plant_1:11, Ячмень
biomesoplenty:double_plant:0, Лён
biomesoplenty:double_plant:1, Высокий Рогоз
biomesoplenty:double_plant:2, Глазное Яблоко
biomesoplenty:double_plant:3, Морской Овёс
biomesoplenty:mushroom:0, Поганка
biomesoplenty:mushroom:1, Портобелло
biomesoplenty:mushroom:2, Млечник Голубой
biomesoplenty:mushroom:3, Светящиеся Гриб
biomesoplenty:mushroom:4, Плоский Гриб
biomesoplenty:mushroom:5, Тёмный Гриб
biomesoplenty:bramble_plant:0, Ежевика
biomesoplenty:flower_0:0, Клевер
biomesoplenty:flower_0:1, Болотный Цветок
biomesoplenty:flower_0:2, Смертельный Цветок
biomesoplenty:flower_0:3, Светящиеся Цветок
biomesoplenty:flower_0:4, Синяя Гортензия
biomesoplenty:flower_0:5, Оранжевая Космея
biomesoplenty:flower_0:6, Розовый Нарцисс
biomesoplenty:flower_0:7, Дикий Цветок
biomesoplenty:flower_0:8, Фиалка
biomesoplenty:flower_0:9, Белый Анемон
biomesoplenty:flower_0:10, Лотос Края
biomesoplenty:flower_0:11, Бромелия
biomesoplenty:flower_0:12, Увядшая Лилия
biomesoplenty:flower_0:13, Розовый Гибискус
biomesoplenty:flower_0:14, Ландыш
biomesoplenty:flower_0:15, Горицвет
biomesoplenty:flower_1:0, Лаванда
biomesoplenty:flower_1:1, Золотарник
biomesoplenty:flower_1:2, Колокольчики
biomesoplenty:flower_1:3, Радость Шахтёра
biomesoplenty:flower_1:4, Ледяной Ирис
biomesoplenty:flower_1:5, Роза
biomesoplenty:ivy:0, Плющ
biomesoplenty:willow_vine:0, Ивовая Лоза
biomesoplenty:terrarium:0, Террариум Папоротника
biomesoplenty:terrarium:1, Террариум Грибов
biomesoplenty:terrarium:2, Террариум Кактуса
biomesoplenty:terrarium:3, Террариум Льна
biomesoplenty:terrarium:4, Террариум Цветка
biomesoplenty:terrarium:5, Террариум Кору
biomesoplenty:terrarium:6, Террариум Бамбука
biomesoplenty:terrarium:7, Beach Terrarium
biomesoplenty:terrarium:8, Террариум Светящегося Гриба
biomesoplenty:terrarium:9, Террариум Засухи
biomesoplenty:terrarium:10, Мистический Террариум
biomesoplenty:terrarium:11, Зловещий Террариум
biomesoplenty:terrarium:12, Террариум Пустоши
biomesoplenty:terrarium:13, Изначальный Террариум
biomesoplenty:terrarium:14, Адский Террариум
biomesoplenty:terrarium:15, Террариум Края
biomesoplenty:jar_filled:0, Медовая Банка
biomesoplenty:jar_filled:1, Банка с Синим Огнём
biomesoplenty:jar_empty, Пустая Банка
biomesoplenty:boat_sacred_oak, Лодка из Священного Дуба
biomesoplenty:boat_cherry, Вишневая Лодка
biomesoplenty:boat_umbran, Теневая Лодка
biomesoplenty:boat_fir, Пихтовая Лодка
biomesoplenty:boat_ethereal, Эфирная Лодка
biomesoplenty:boat_magic, Магическая Лодка
biomesoplenty:boat_mangrove, Мангровая Лодка
biomesoplenty:boat_palm, Пальмовая Лодка
biomesoplenty:boat_redwood, Лодка из Краснового Дерева
biomesoplenty:boat_willow, Ивовая Лодка
biomesoplenty:boat_pine, Сосновая Лодка
biomesoplenty:boat_hellbark, Лодка из Адского Дерева
biomesoplenty:boat_jacaranda, Жакарандовая Лодка
biomesoplenty:boat_mahogany, Махагониевая Лодка
biomesoplenty:boat_ebony, Эбоновая Лодка
biomesoplenty:boat_eucalyptus, Эвкалиптовая Лодка
biomesoplenty:biome_finder, Искатель Биомов
biomesoplenty:record_wanderer, Музыкальная Пластинка
biomesoplenty:mudball, Комок Грязи
biomesoplenty:mud_brick, Грязевой Кирпич
biomesoplenty:ash, Кучка Пепла
biomesoplenty:fleshchunk, Кусок Плоти
biomesoplenty:gem:0, Аметист Края
biomesoplenty:gem:1, Рубин
biomesoplenty:gem:2, Хризолит
biomesoplenty:gem:3, Топаз
biomesoplenty:gem:4, Танзанит
biomesoplenty:gem:5, Малахит
biomesoplenty:gem:6, Сапфир
biomesoplenty:gem:7, Янтарь
biomesoplenty:terrestrial_artifact, Земной Артефакт
biomesoplenty:crystal_shard, Осколок Небесного Кристалла
biomesoplenty:biome_essence, Эссенция Биома
biomesoplenty:berries, Ягода
biomesoplenty:pear, Груша
biomesoplenty:peach, Персик
biomesoplenty:persimmon, Хурма
biomesoplenty:honeycomb, Пустые Медовые Соты
biomesoplenty:filled_honeycomb, Заполненные Медовые Соты
biomesoplenty:shroompowder, Грибной Порошок
biomesoplenty:ricebowl, Миска Риса
biomesoplenty:blue_dye, Синий Краситель
biomesoplenty:brown_dye, Коричневая Краситель
biomesoplenty:green_dye, Зелёный Краситель
biomesoplenty:white_dye, Белый Краситель
biomesoplenty:black_dye, Чёрный Краситель
biomesoplenty:earth, Земля
railcraft:creosote, Креозотовое масло
railcraft:steam, Пар
railcraft:tool_crowbar_iron, Железная монтировка
railcraft:tool_crowbar_steel, Стальная монтировка
railcraft:tool_axe_steel, Стальной топор
railcraft:tool_hoe_steel, Стальная мотыга
railcraft:tool_pickaxe_steel, Стальная кирка
railcraft:tool_shears_steel, Стальные ножницы
railcraft:tool_shovel_steel, Стальная лопата
railcraft:tool_sword_steel, Стальной меч
railcraft:armor_helmet_steel, Стальной шлем
railcraft:armor_chestplate_steel, Стальная кираса
railcraft:armor_leggings_steel, Стальные поножи
railcraft:armor_boots_steel, Стальные ботинки
railcraft:tool_magnifying_glass, Лупа
railcraft:armor_goggles, Очки обходчика путей
railcraft:armor_overalls, Комбинезон инженера
railcraft:tool_notepad, Блокнот обходчика путей
railcraft:rail:0, Стандартный рельс
railcraft:rail:1, Продвинутый рельс
railcraft:rail:2, Деревянный рельс
railcraft:rail:3, Высокоскоростной рельс
railcraft:rail:4, Укреплённый рельс
railcraft:rail:5, Электрический рельс
railcraft:tie:0, Деревянная шпала
railcraft:tie:1, Каменная шпала
railcraft:rebar, Арматура
railcraft:cart_spawner:0, Вагонетка со спавнером
railcraft:detector:0, Детектор - Инвентарь
railcraft:detector:1, Детектор - Любая вагонетка
railcraft:detector:2, Детектор - Пустая вагонетка
railcraft:detector:3, Детектор - Моб
railcraft:detector:4, Детектор - Игрок
railcraft:detector:5, Детектор - Животное
railcraft:detector:6, Детектор - Цистерна
railcraft:detector:7, Детектор - Продвинутый
railcraft:detector:8, Детектор - Взрослый
railcraft:detector:9, Детектор - Поезд
railcraft:detector:10, Детектор - Овца
railcraft:detector:11, Детектор - Деревенский житель
railcraft:detector:12, Детектор - Локомотив
railcraft:detector:13, Детектор - Маршрутизация
railcraft:manipulator:0, Загрузчик предметов
railcraft:manipulator:1, Разгрузчик предметов
railcraft:manipulator:2, Продвинутый загрузчик предметов
railcraft:manipulator:3, Продвинутый разгрузчик предметов
railcraft:manipulator:4, Заливщик жидкостей
railcraft:manipulator:5, Сливщик жидкостей
railcraft:manipulator:6, Зарядное устройство
railcraft:manipulator:7, Энергосьемщик
railcraft:manipulator:10, RF-зарядное устройство
railcraft:manipulator:11, RF Энергосьемщик
railcraft:manipulator:8, Размещатель вагонеток
railcraft:manipulator:9, Размещатель поездов
railcraft:equipment:0, Ручной прокатный стан
railcraft:equipment:1, Прокатный стан
railcraft:equipment:2, Станция кормления
railcraft:equipment:3, Дымогенератор
railcraft:trade_station:0, Торговая станция
railcraft:force_track_emitter, Излучатель силового пути
railcraft:track_force, Силовой путь
railcraft:filter_blank, Чистый фильтр
railcraft:filter_type, Предметный фильтр
railcraft:filter_ore_dict, Ore Dictionary фильтр
railcraft:bore:0, Проходческий щит
railcraft:borehead_bronze, Бронзовая головка бура
railcraft:borehead_iron, Железная головка бура
railcraft:borehead_steel, Стальная головка бура
railcraft:borehead_diamond, Алмазная головка бура
railcraft:mow_track_layer:0, Укладчик путей
railcraft:mow_track_relayer:0, Переукладчик путей
railcraft:mow_track_remover:0, Убиратель путей
railcraft:mow_undercutter:0, Врубовая машина
railcraft:cart_trade_station:0, Вагонетка с торговой станцией
railcraft:cart_work:0, Вагонетка с верстаком
railcraft:cart_jukebox:0, Вагонетка с проигрывателем
railcraft:cart_bed:0, Вагонетка с кроватью
railcraft:battery_nickel_iron, Никель-железный аккумулятор
railcraft:battery_nickel_zinc, Никель-цинковый аккумулятор
railcraft:battery_zinc_carbon, Цинк-карбоновая аккумулятор
railcraft:battery_zinc_silver, Цинк-серебряный аккумулятор
railcraft:charge_feeder:0, IC2 модуль питания
railcraft:charge_feeder:1, Администраторский модуль питания
railcraft:charge_trap, Заряженная ловушка
railcraft:frame, Опорный каркас для шунтирующего провода
railcraft:steam_turbine:0, Корпус паровой турбины
railcraft:wire, Электрический шунтирующий провод
railcraft:charge:0, Заряжающая катушка
railcraft:charge:1, Терминал заряда
railcraft:charge:2, Малая катушка с зарядным проводом
railcraft:charge:3, Средняя катушка с зарядным проводом
railcraft:charge:4, Большая катушка с зарядным проводом
railcraft:charge:5, Заряжающий мотор
railcraft:charge:6, Никелевый электрод
railcraft:charge:7, Железный электрод
railcraft:charge:8, Цинковый электрод
railcraft:charge:9, item.railcraft.charge.electrode.carbon.name
railcraft:charge:10, item.railcraft.charge.electrode.silver.name
railcraft:tool_charge_meter, Электросчётчик
railcraft:turbine_blade, Лопатка турбины
railcraft:turbine_disk, Диск турбины
railcraft:turbine_rotor, Ротор турбины
railcraft:worldspike:0, Якорь администратора
railcraft:worldspike:1, Пассивный якорь
railcraft:worldspike:2, Личный якорь
railcraft:worldspike:3, Мировой якорь
railcraft:worldspike_point, Точка мирового якоря
railcraft:cart_worldspike_standard:0, Вагонетка с мировым якорем
railcraft:cart_worldspike_admin:0, Вагонетка с якорем администратора
railcraft:cart_worldspike_personal:0, Вагонетка с личным якорем
railcraft:emblem, Эмблема
railcraft:anvil:0, Стальная наковальня
railcraft:anvil:1, Слегка повреждённая стальная наковальня
railcraft:anvil:2, Сильно повреждённая стальная наковальня
railcraft:fuel_coke, Коксовый уголь
railcraft:coke_oven:0, Кирпич коксовой печи
railcraft:coke_oven_red:0, tile.railcraft.coke.oven.red.name
railcraft:blast_furnace:0, Кирпич доменной печи
railcraft:rock_crusher:0, Дробитель
railcraft:steam_oven:0, Паровая печь
railcraft:tank_iron_gauge:0, Водомерное стекло железного резервуара
railcraft:tank_iron_gauge:1, Водомерное стекло железного резервуара
railcraft:tank_iron_gauge:2, Водомерное стекло железного резервуара
railcraft:tank_iron_gauge:3, Водомерное стекло железного резервуара
railcraft:tank_iron_gauge:4, Водомерное стекло железного резервуара
railcraft:tank_iron_gauge:5, Водомерное стекло железного резервуара
railcraft:tank_iron_gauge:6, Водомерное стекло железного резервуара
railcraft:tank_iron_gauge:7, Водомерное стекло железного резервуара
railcraft:tank_iron_gauge:8, Водомерное стекло железного резервуара
railcraft:tank_iron_gauge:9, Водомерное стекло железного резервуара
railcraft:tank_iron_gauge:10, Водомерное стекло железного резервуара
railcraft:tank_iron_gauge:11, Водомерное стекло железного резервуара
railcraft:tank_iron_gauge:12, Водомерное стекло железного резервуара
railcraft:tank_iron_gauge:13, Водомерное стекло железного резервуара
railcraft:tank_iron_gauge:14, Водомерное стекло железного резервуара
railcraft:tank_iron_gauge:15, Водомерное стекло железного резервуара
railcraft:tank_iron_valve:0, Клапан железного резервуара
railcraft:tank_iron_valve:1, Клапан железного резервуара
railcraft:tank_iron_valve:2, Клапан железного резервуара
railcraft:tank_iron_valve:3, Клапан железного резервуара
railcraft:tank_iron_valve:4, Клапан железного резервуара
railcraft:tank_iron_valve:5, Клапан железного резервуара
railcraft:tank_iron_valve:6, Клапан железного резервуара
railcraft:tank_iron_valve:7, Клапан железного резервуара
railcraft:tank_iron_valve:8, Клапан железного резервуара
railcraft:tank_iron_valve:9, Клапан железного резервуара
railcraft:tank_iron_valve:10, Клапан железного резервуара
railcraft:tank_iron_valve:11, Клапан железного резервуара
railcraft:tank_iron_valve:12, Клапан железного резервуара
railcraft:tank_iron_valve:13, Клапан железного резервуара
railcraft:tank_iron_valve:14, Клапан железного резервуара
railcraft:tank_iron_valve:15, Клапан железного резервуара
railcraft:tank_iron_wall:0, Обшивка железного резервуара
railcraft:tank_iron_wall:1, Обшивка железного резервуара
railcraft:tank_iron_wall:2, Обшивка железного резервуара
railcraft:tank_iron_wall:3, Обшивка железного резервуара
railcraft:tank_iron_wall:4, Обшивка железного резервуара
railcraft:tank_iron_wall:5, Обшивка железного резервуара
railcraft:tank_iron_wall:6, Обшивка железного резервуара
railcraft:tank_iron_wall:7, Обшивка железного резервуара
railcraft:tank_iron_wall:8, Обшивка железного резервуара
railcraft:tank_iron_wall:9, Обшивка железного резервуара
railcraft:tank_iron_wall:10, Обшивка железного резервуара
railcraft:tank_iron_wall:11, Обшивка железного резервуара
railcraft:tank_iron_wall:12, Обшивка железного резервуара
railcraft:tank_iron_wall:13, Обшивка железного резервуара
railcraft:tank_iron_wall:14, Обшивка железного резервуара
railcraft:tank_iron_wall:15, Обшивка железного резервуара
railcraft:tank_steel_gauge:0, Водомерное стекло стального резервуара
railcraft:tank_steel_gauge:1, Водомерное стекло стального резервуара
railcraft:tank_steel_gauge:2, Водомерное стекло стального резервуара
railcraft:tank_steel_gauge:3, Водомерное стекло стального резервуара
railcraft:tank_steel_gauge:4, Водомерное стекло стального резервуара
railcraft:tank_steel_gauge:5, Водомерное стекло стального резервуара
railcraft:tank_steel_gauge:6, Водомерное стекло стального резервуара
railcraft:tank_steel_gauge:7, Водомерное стекло стального резервуара
railcraft:tank_steel_gauge:8, Водомерное стекло стального резервуара
railcraft:tank_steel_gauge:9, Водомерное стекло стального резервуара
railcraft:tank_steel_gauge:10, Водомерное стекло стального резервуара
railcraft:tank_steel_gauge:11, Водомерное стекло стального резервуара
railcraft:tank_steel_gauge:12, Водомерное стекло стального резервуара
railcraft:tank_steel_gauge:13, Водомерное стекло стального резервуара
railcraft:tank_steel_gauge:14, Водомерное стекло стального резервуара
railcraft:tank_steel_gauge:15, Водомерное стекло стального резервуара
railcraft:tank_steel_valve:0, Клапан стального резервуара
railcraft:tank_steel_valve:1, Клапан стального резервуара
railcraft:tank_steel_valve:2, Клапан стального резервуара
railcraft:tank_steel_valve:3, Клапан стального резервуара
railcraft:tank_steel_valve:4, Клапан стального резервуара
railcraft:tank_steel_valve:5, Клапан стального резервуара
railcraft:tank_steel_valve:6, Клапан стального резервуара
railcraft:tank_steel_valve:7, Клапан стального резервуара
railcraft:tank_steel_valve:8, Клапан стального резервуара
railcraft:tank_steel_valve:9, Клапан стального резервуара
railcraft:tank_steel_valve:10, Клапан стального резервуара
railcraft:tank_steel_valve:11, Клапан стального резервуара
railcraft:tank_steel_valve:12, Клапан стального резервуара
railcraft:tank_steel_valve:13, Клапан стального резервуара
railcraft:tank_steel_valve:14, Клапан стального резервуара
railcraft:tank_steel_valve:15, Клапан стального резервуара
railcraft:tank_steel_wall:0, Обшивка стального резервуара
railcraft:tank_steel_wall:1, Обшивка стального резервуара
railcraft:tank_steel_wall:2, Обшивка стального резервуара
railcraft:tank_steel_wall:3, Обшивка стального резервуара
railcraft:tank_steel_wall:4, Обшивка стального резервуара
railcraft:tank_steel_wall:5, Обшивка стального резервуара
railcraft:tank_steel_wall:6, Обшивка стального резервуара
railcraft:tank_steel_wall:7, Обшивка стального резервуара
railcraft:tank_steel_wall:8, Обшивка стального резервуара
railcraft:tank_steel_wall:9, Обшивка стального резервуара
railcraft:tank_steel_wall:10, Обшивка стального резервуара
railcraft:tank_steel_wall:11, Обшивка стального резервуара
railcraft:tank_steel_wall:12, Обшивка стального резервуара
railcraft:tank_steel_wall:13, Обшивка стального резервуара
railcraft:tank_steel_wall:14, Обшивка стального резервуара
railcraft:tank_steel_wall:15, Обшивка стального резервуара
railcraft:tank_water:0, Обшивка водонапорной башни
railcraft:chest_metals:0, Сундук для металлов
railcraft:cart_chest_metals:0, Вагонетка с металлическим сундуком
railcraft:filter_bee, Фильтр пчел
railcraft:filter_bee_genome, Фильтр генома пчел
railcraft:backpack_apothecary_t1, Рюкзак фармацевта
railcraft:backpack_apothecary_t2, Тканный рюкзак фармацевта
railcraft:backpack_iceman_t1, Рюкзак альпиниста
railcraft:backpack_iceman_t2, Тканый рюкзак альпиниста
railcraft:backpack_trackman_t1, Рюкзак обходчика путей
railcraft:backpack_trackman_t2, Тканый рюкзак обходчика путей
railcraft:backpack_signalman_t1, item.railcraft.backpack.signalman.t1.name
railcraft:backpack_signalman_t2, item.railcraft.backpack.signalman.t2.name
railcraft:cart_ic2_batbox:0, Вагонетка с энергохранителем
railcraft:cart_ic2_mfe:0, Вагонетка с МФЭ
railcraft:cart_ic2_cesu:0, Вагонетка с ЦЭСУ
railcraft:firestone_cracked, Потрескавшийся огненный камень
railcraft:firestone_cut, Разрезанный огненный камень
railcraft:firestone_raw, Неочищенный огненный камень
railcraft:firestone_refined, Очищенный огненный камень
railcraft:cart_redstone_flux:0, RF вагонетка
railcraft:flux_transformer:0, Преобразователь флакса
railcraft:metal:0, Медный блок
railcraft:metal:1, Оловянный блок
railcraft:metal:2, Свинцовый блок
railcraft:metal:4, Серебряный блок
railcraft:metal:3, Стальной блок
railcraft:metal:5, Бронзовый блок
railcraft:metal:6, Никелевый блок
railcraft:metal:7, Инваровый блок
railcraft:metal:8, Цинковый блок
railcraft:metal:9, Латунный блок
railcraft:fluid_bottle_creosote, Бутылка креозотового масла
railcraft:fluid_bottle_steam, Бутылка пара
railcraft:nugget:0, =Стальной самородок
railcraft:nugget:1, Медный самородок
railcraft:nugget:2, Оловянный самородок
railcraft:nugget:3, Свинцовый самородок
railcraft:nugget:4, Серебряный самородок
railcraft:nugget:5, Бронзовый самородок
railcraft:nugget:6, Никелевый самородок
railcraft:nugget:7, Инваровый самородок
railcraft:nugget:8, Цинковый самородок
railcraft:nugget:9, Латунный самородок
railcraft:ingot:0, Стальной слиток
railcraft:ingot:1, Медный слиток
railcraft:ingot:2, Оловянный слиток
railcraft:ingot:3, Свинцовый слиток
railcraft:ingot:4, Серебряный слиток
railcraft:ingot:5, Бронзовый слиток
railcraft:ingot:6, Никелевый слиток
railcraft:ingot:7, Инваровый слиток
railcraft:ingot:8, Цинковый слиток
railcraft:ingot:9, Латунный слитор
railcraft:gear:0, Латунная шестерня
railcraft:gear:1, Железная шестерня
railcraft:gear:2, Стальная шестерня
railcraft:gear:3, Оловянная втулка шестерни
railcraft:gear:4, Бронзовая шестерня
railcraft:gear:5, Инваровая шестерня
railcraft:plate:0, Железная пластина
railcraft:plate:1, Стальная пластина
railcraft:plate:2, Оловянная пластина
railcraft:plate:3, Медная пластина
railcraft:plate:4, Свинцовая пластина
